time,cD,cL
0.001,353.777,-0.562724
0.002,11.0692,-0.0112794
0.003,5.26295,0.0201689
0.004,4.4391,0.0142176
0.005,4.1182,0.0138265
0.006,3.94983,0.00549819
0.007,3.82322,0.0016352
0.008,3.69951,-0.00102198
0.009,3.59599,-0.00184303
0.01,3.49559,-0.00455539
0.011,3.37168,-0.00452031
0.012,3.29777,-0.00496672
0.013,3.18922,-0.00141712
0.014,3.1372,-0.000999257
0.015,3.04067,0.00180416
0.016,3.0032,0.00397101
0.017,2.93042,0.00441496
0.018,2.89808,0.00739658
0.019,2.82056,0.00537657
0.02,2.75093,0.00714723
0.021,2.65136,0.0142952
0.022,2.6169,0.0127966
0.023,2.54984,0.0194501
0.024,2.52527,0.0171858
0.025,2.50206,0.0168741
0.026,2.47885,0.0148923
0.027,2.45783,0.0154192
0.028,2.43871,0.0111369
0.029,2.41768,0.0131175
0.03,2.40435,0.00962047
0.031,2.38328,0.011406
0.032,2.37302,0.00596144
0.033,2.35958,0.00385263
0.034,2.35049,0.00554104
0.035,2.33291,0.00462547
0.036,2.32814,0.00263472
0.037,2.31893,-0.00247423
0.038,2.31261,0.000466025
0.039,2.30583,-0.00333685
0.04,2.29904,-0.00294115
0.041,2.29646,-0.00443508
0.042,2.30593,-0.00536659
0.043,2.30207,-0.00934404
0.044,2.29491,-0.0095694
0.045,2.29478,-0.00721597
0.046,2.28671,-0.0102658
0.047,2.27157,-0.00709606
0.048,2.28659,-0.0126749
0.049,2.31304,-0.00858185
0.05,2.31597,-0.0105302
0.051,2.31877,-0.0104525
0.052,2.33074,-0.0105282
0.053,2.36415,-0.00574745
0.054,2.36705,-0.00639547
0.055,2.41729,-0.00432809
0.056,2.43999,0.000920535
0.057,2.46502,0.013963
0.058,2.47311,0.0126331
0.059,2.3852,0.0135303
0.06,2.38145,0.0119108
0.061,2.36683,0.01286
0.062,2.32718,0.00983873
0.063,2.28482,0.00740114
0.064,2.28138,0.0044101
0.065,2.23742,0.00256476
0.066,2.23369,0.00379116
0.067,2.22365,0.000922633
0.068,2.20169,-0.00145333
0.069,2.19792,-0.00116725
0.07,2.18805,-0.00346244
0.071,2.18577,-0.00242737
0.072,2.18147,-0.00282153
0.073,2.17054,-0.00454116
0.074,2.18162,-0.00362086
0.075,2.17581,-0.00263516
0.076,2.18484,0.000273132
0.077,2.18435,0.00140292
0.078,2.19383,0.000511854
0.079,2.19279,0.001273
0.08,2.18989,0.000602245
0.081,2.21867,0.00256893
0.082,2.22659,0.00355272
0.083,2.22567,0.00325267
0.084,2.22276,0.00241438
0.085,2.22214,0.00451254
0.086,2.233,0.00383399
0.087,2.27725,0.00360381
0.088,2.27757,0.00182379
0.089,2.28161,0.000597398
0.09,2.29038,-0.000974861
0.091,2.29139,-0.000558031
0.092,2.31202,-0.00572005
0.093,2.33983,-0.00700371
0.094,2.36803,-0.00450487
0.095,2.39613,-0.012449
0.096,2.4039,-0.0101703
0.097,2.42501,-0.0107926
0.098,2.43094,-0.0119755
0.099,2.45108,-0.0152389
0.1,2.45411,-0.0130625
0.101,2.46541,-0.014068
0.102,2.4779,-0.0149908
0.103,2.48015,-0.0148924
0.104,2.4877,-0.0146821
0.105,2.4961,-0.0153946
0.106,2.49921,-0.0144505
0.107,2.51149,-0.0126335
0.108,2.52156,-0.0134875
0.109,2.53199,-0.013116
0.11,2.54487,-0.0153025
0.111,2.5513,-0.0138784
0.112,2.5602,-0.0140448
0.113,2.58343,-0.0149594
0.114,2.58729,-0.0138535
0.115,2.5881,-0.0148685
0.116,2.6111,-0.014774
0.117,2.62145,-0.0137554
0.118,2.62981,-0.0153579
0.119,2.65407,-0.015086
0.12,2.65497,-0.0152139
0.121,2.65798,-0.0149383
0.122,2.68103,-0.014231
0.123,2.68553,-0.0150264
0.124,2.69564,-0.0133535
0.125,2.72273,-0.0146787
0.126,2.72717,-0.0149191
0.127,2.72721,-0.0154273
0.128,2.72925,-0.0145092
0.129,2.73964,-0.0123503
0.13,2.75686,-0.0137506
0.131,2.75566,-0.0131981
0.132,2.78013,-0.0155859
0.133,2.78333,-0.0130816
0.134,2.7866,-0.0136615
0.135,2.79996,-0.0111165
0.136,2.80173,-0.0111959
0.137,2.81346,-0.0123007
0.138,2.82354,-0.0106419
0.139,2.82893,-0.0117804
0.14,2.85786,-0.0093327
0.141,2.85789,-0.00803799
0.142,2.8578,-0.00799503
0.143,2.86361,-0.0082412
0.144,2.86389,-0.00800952
0.145,2.86332,-0.00994849
0.146,2.8867,-0.00868934
0.147,2.89187,-0.00743099
0.148,2.89449,-0.00864051
0.149,2.91049,-0.00707639
0.15,2.91358,-0.00304717
0.151,2.91557,-0.00588182
0.152,2.92222,-0.00906118
0.153,2.92922,-0.00533917
0.154,2.93093,-0.00744869
0.155,2.94131,-0.00194152
0.156,2.93968,-0.00831446
0.157,2.97011,-0.00338584
0.158,2.97067,-0.00432534
